Model Name,Display Name,Purpose,Generates Text,Supports Search Grounding,Current Quota Status,RPM Limit,RPD Limit
models/gemini-2.5-flash,Gemini 2.5 Flash,Text Generation,Yes,Yes,Available (Active),5,250K
models/gemini-2.5-pro,Gemini 2.5 Pro,Text Generation,Yes,Yes,0 (Quota Exhausted),2,250K
models/gemini-2.0-flash,Gemini 2.0 Flash,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-2.0-flash-001,Gemini 2.0 Flash 001,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-2.0-flash-lite-001,Gemini 2.0 Flash-Lite 001,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-2.5-flash-preview-tts,Gemini 2.5 Flash Preview TTS,Text Generation,Yes,Yes,Error: 400 The requested combination of response modaliti,5,250K
models/gemini-2.5-pro-preview-tts,Gemini 2.5 Pro Preview TTS,Text Generation,Yes,Yes,0 (Quota Exhausted),2,250K
models/gemma-4-26b-a4b-it,Gemma 4 26B A4B IT,Text Generation,Yes,No,Available (Active),15,1500
models/gemma-4-31b-it,Gemma 4 31B IT,Text Generation,Yes,No,Available (Active),15,1500
models/gemini-flash-latest,Gemini Flash Latest,Text Generation,Yes,Yes,Available (Active),15,1500
models/gemini-flash-lite-latest,Gemini Flash-Lite Latest,Text Generation,Yes,Yes,Available (Active),15,1500
models/gemini-pro-latest,Gemini Pro Latest,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,Text Generation,Yes,Yes,Available (Active),5,250K
models/gemini-2.5-flash-image,Nano Banana,Text Generation,Yes,Yes,0 (Quota Exhausted),5,250K
models/gemini-3-pro-preview,Gemini 3 Pro Preview,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3-flash-preview,Gemini 3 Flash Preview,Text Generation,Yes,Yes,Available (Active),5,250K
models/gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-3.1-pro-preview-customtools,Gemini 3.1 Pro Preview Custom Tools,Text Generation,Yes,Yes,0 (Quota Exhausted),15,1500
models/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite Preview,Text Generation,Yes,Yes,Available (Active),15,250K
models/gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,Text Generation,Yes,Yes,Available (Active),15,250K
models/gemini-3-pro-image-preview,Nano Banana Pro,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3-pro-image,Nano Banana Pro,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/nano-banana-pro-preview,Nano Banana Pro,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3.1-flash-image-preview,Nano Banana 2,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3.1-flash-image,Nano Banana 2,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3.5-flash,Gemini 3.5 Flash,Text Generation,Yes,Yes,0 (Quota Exhausted),5,250K
models/lyria-3-clip-preview,Lyria 3 Clip Preview,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/lyria-3-pro-preview,Lyria 3 Pro Preview,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/gemini-3.1-flash-tts-preview,Gemini 3.1 Flash TTS Preview,Text Generation,Yes,No,N/A,N/A,N/A
models/gemini-robotics-er-1.5-preview,Gemini Robotics-ER 1.5 Preview,Text Generation,Yes,No,Error: 404 This model models/gemini-robotics-er-1.5-previ,15,1500
models/gemini-robotics-er-1.6-preview,Gemini Robotics-ER 1.6 Preview,Text Generation,Yes,No,Available (Active),15,1500
models/gemini-2.5-computer-use-preview-10-2025,Gemini 2.5 Computer Use Preview 10-2025,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/antigravity-preview-05-2026,Antigravity Agent Preview,Text Generation,Yes,No,0 (Quota Exhausted),15,1500
models/deep-research-max-preview-04-2026,Deep Research Max Preview (Apr-21-2026),Text Generation,Yes,No,Error: 400 This model only supports Interactions API.,15,1500
